id_rumour;target;source;destination;veracity;evidence;evidence_date
143;Aar¢n Mart°n;Espanyol;Benfica;;;
14;Aaron Mooy;Huddersfield Town;Manchester City;;;
175;Afonso Sousa;Porto;Manchester United;;;
149;Alan Ruiz;Sporting;Espanyol;;;
92;Aleix Vidal;Barcelona;Sevilla;;;
36;Alex Grimaldo;Benfica;Tottenham;;;
257;Alex Telles;FC Porto;Everton;;;
57;Alex Telles;FC Porto;FC Porto;;;
195;Alex Telles;Porto;Real Madrid;;;
169;µlvaro Odriozola;Real Sociedad;Real Madrid;;;
220;Anderson Talisca;Benfica;Manchester United;;;
152;AndrÇ Carrillo;Benfica;Everton;;;
47;AndrÇ Gomes;Barcelona;Arsenal;;;
255;AndrÇ Gomes;Barcelona;Barcelona;;;
135;AndrÇ Gomes;Barcelona;Real Betis;;;
106;AndrÇ Gomes;Barcelona;Tottenham;;;
110;AndrÇ Gomes;Barcelona;Valencia;;;
256;AndrÇ Gomes;Barcelona;West Ham;;;
274;AndrÇ Gomes;Barcelona;Everton;;;
51;AndrÇ Moreira;AtlÇtico de Madrid;Sporting;;;
279;AndrÇ Moreira;AtlÇtico de Madrid;Aston Villa;;;
131;AndrÇ Pereira;Porto;Portimonense;;;
292;Andriy Lunin;Real Madrid;LeganÇs;;;
11;Angus Gunn;Manchester City;Southampton;;;
197;Anthony Martial;Manchester United;Chelsea;;;
137;Anthony Martial;Manchester United;Manchester United;;;
33;Anthony Martial;Manchester United;Tottenham;;;
294;Anthony Martial;Manchester United;Sevilla;;;
156;Antoine Griezmann;AtlÇtico Madrid;AtlÇtico Madrid;;;
181;Antoine Griezmann;AtlÇtico Madrid;Barcelona;;;
25;Antonio Adan;Real Betis;Atletico Madrid;;;
155;Antonio Adan;Real Betis;Sporting;;;
13;Arthur;Gremio;FC Bacelona;;;
119;Bas Dost;Sporting;Sevilla;;;
102;Bas Dost;Sporting;Sporting;;;
263;Ben Woodburn;Liverpool;Aston Villa;;;
172;Bruno Fernandes;Sporting;Atletico Madrid;;;
41;Bruno Fernandes;Sporting;Benfica;;;
78;Bruno Fernandes;Sporting;Sporting;;;
46;Bruno Fernandes;Sporting;West Ham;;;
145;Carles PÇrez;Barcelona;Benfica;;;
44;Chancel Mbemba ;Newcastle United;FC Porto;;;
212;Christian Eriksen;Tottenham;Barcelona;;;
213;Christian Eriksen;Tottenham;Real Madrid;;;
